experiment_id,direction,date,metric,n_valid,spearman,pearson,sign_or_label_agreement,selector,K,selected_n,glm_incremental_mrr,glm_utility_mrr,qwen_incremental_mrr,qwen_utility_mrr
ROBUST_GLM_001,panel_agreement,2022-07-01,rv,936,0.8113086585818647,0.795310129725134,0.8920940170940171,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-07-01,z0,936,,,0.8920940170940171,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-07-01,z1,936,,,0.8760683760683761,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-08-01,rv,999,0.7928924932966438,0.7533874966905161,0.8898898898898899,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-08-01,z0,999,,,0.8898898898898899,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-08-01,z1,999,,,0.8718718718718719,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-09-01,rv,1000,0.8068449770514503,0.7838450804673711,0.897,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-09-01,z0,1000,,,0.897,,,,,,,
ROBUST_GLM_001,panel_agreement,2022-09-01,z1,1000,,,0.886,,,,,,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,hybrid,10.0,10.0,0.005232397453914145,0.3290838738801535,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,hybrid,25.0,25.0,0.01782851285978832,0.34167998928602766,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,hybrid,50.0,50.0,0.028500508499104224,0.3523519849253436,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,hybrid,100.0,100.0,0.06341130280856838,0.38726277923480773,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,hybrid,250.0,250.0,0.15880224314826477,0.4826537195745041,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,hybrid,500.0,500.0,0.2126721438443419,0.5365236202705812,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,hybrid,1000.0,936.0,0.20330708766771105,0.5271585640939505,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,reasoning_value,10.0,10.0,0.003941755938913656,0.327793232365153,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,reasoning_value,25.0,25.0,0.012498525274191763,0.3363500017004311,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,reasoning_value,50.0,50.0,0.03114756966337914,0.35499904608961846,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,reasoning_value,100.0,100.0,0.06522588658204204,0.3890773630082814,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,reasoning_value,250.0,250.0,0.1581885079658184,0.48203998439205775,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,reasoning_value,500.0,500.0,0.21592307702051047,0.5397745534467498,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,reasoning_value,1000.0,936.0,0.20330708766771105,0.5271585640939505,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,dynamic_influence,10.0,10.0,0.0006931839763421527,0.3245446604025815,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,dynamic_influence,25.0,25.0,0.0037047044915649464,0.3275561809178043,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,dynamic_influence,50.0,50.0,0.00687486954367846,0.3307263459699178,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,dynamic_influence,100.0,100.0,0.017337783160528746,0.3411892595867681,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,dynamic_influence,250.0,250.0,0.04129029219918166,0.365141768625421,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,dynamic_influence,500.0,500.0,0.1123414684930199,0.43619294491925925,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,dynamic_influence,1000.0,936.0,0.20330708766771105,0.5271585640939505,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,volume,10.0,10.0,0.0015317437192437192,0.32538322014548304,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,volume,25.0,25.0,0.004610873680683622,0.328462350106923,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,volume,50.0,50.0,0.013975051981827736,0.3378265284080671,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,volume,100.0,100.0,0.029946629066900533,0.3537981054931399,,
ROBUST_GLM_001,qwen_score_to_glm_label,2022-07-01,,936,,,,volume,250.0,250.0,0.05345308026196301,0.37730455668820234,,
