group,result_id,hypothesis,method,data_split,metric,baseline,gain,cost,leakage_status,reproducibility,statistical_support,paper_relevance,decision,evidence_ref
G0,G0_data_contract,无泄漏时序数据契约可按实况冻结,BigQuery 元数据+有界查询审计（get_table/INFORMATION_SCHEMA/单日分区扫描）；只读,"dev [2022-03-01,2022-09-01) 11,631,068 行 / holdout [2022-09-01,2022-10-01) 1,402,392 行；27,613 目标地址",行数/分区覆盖/schema 一致性/窗口边界/过滤语义,无（契约审计）,识别 4 项冻结口径：1 处 schema 不一致、2 处候选集/标签口径注意、1 处静态特征边界,BQ ≈21MB（单次有界 job）；CPU,PASS（dev/holdout 分区不重叠；过滤为至少一端匹配并显式声明；静态全窗口特征标记为 leaky prior）,可复现（audit_query.py + bq_metadata_2026-09-11.json + temporal_protocol.yaml v1.0 sha256 07126f9e…7227a）,n/a（审计门槛）,方案 §1 冻结项：数据契约/时间协议/防泄漏规则,KEEP_CORE,research/audit/DATA_AUDIT.md; research/audit/temporal_protocol.yaml; research/audit/bq_metadata_2026-09-11.json
G_A,persona_clustering,H_A：动态行为画像对未来行为有描述性区分度,as-of 特征聚类（full_asof/trajectory/network × K-means/GMM/HDBSCAN）,"cutoff 2022-09-01；n=18,519",persona-only R²(log1p fwd30_evt)=0.585（K-means K=4）；features-only R²=0.704,features-only（in-sample）,ΔR²≈+0.001（persona 无增量）,BQ ≈1.1–1.2 GiB；CPU ~10min；无 LLM,PASS（特征 as-of；静态先验隔离；network 覆盖 42.8%、USD 91.3%/35.8% 有选择偏差）,可复现（脚本+数据+manifest）,"bootstrap ARI 0.418 [0.410,0.428]（K-means K=4）；轨迹 ARI 0.962；相邻月 ARI 0.46–0.60；描述性无 OOS 裁决",行为层描述性；无标量排名，不进正式选择器,KEEP_ABLATION,research/groupA_behavior/README.md; results/evaluation_20220901.json; results/clustering_summary.json
G_A,sequence_embedding_pilot,行为序列嵌入可补充数值画像,确定性 TF-IDF 2-gram 动作符号嵌入（无 LLM/GPU）,n=800（seed 2022，09-01 有界样本）,silhouette k5 = 0.232（seq） vs 0.192（numeric）,数值 silhouette 0.192,+0.040（描述性，pilot）,CPU only,PASS,可复现,无 CI；小样本 pilot,弱/描述性,KEEP_CONTEXT,research/groupA_behavior/results/sequence_embedding_pilot.json
G_A,reusable_data_assets,Group A 数据资产可直接复用,feature_matrix/asof_monthly/trajectory/network/USD/static_prior 物化,"09-01 快照 + 05-08 月度（78,786 行）",标签 parity：B↔A↔C 逐钱包 0-diff,—,—,—,PASS,可复现（manifest）,CHIEF 复核 parity 0,Phase-II 特征/标签基础设施,KEEP_CORE,research/groupA_behavior/results/data/; research/groupA_behavior/results/manifest.json
G_B,predictive_activity_level,H_B：历史状态显著预测未来 30 天活动水平,LightGBM/Ridge/HistGBM；严格时序 OOS train 06-01/val 07-01/frozen test 08-01/holdout 09-01,"n=18,519；holdout 09-01",R²=0.617；Spearman=0.812；top-10% Recall@K=0.653（act_level）,active_days_90d R²=0.474（最优单特征）,R² +0.143；holdout K=100 U(K)=458.4 vs volume 429.7 (+6.7%),BQ ≈0.01 GiB；CPU ~5min；无 LLM,PASS（严格时序切分；特征 as-of；扩展消融为 post-hoc）,可复现（run_predictive.py + holdout09_predictions.csv）,"WALK 多 cutoff 配对 bootstrap（B=2000）：K=100 predictive−volume +78.55 CI[49.98,114.22] 不含 0（已验证）；单点另有 paired CI",H1/H2 预测性基础；预算化选择器主定义（B_act）,KEEP_CORE,research/groupB_predictive/README.md; results/predictive_results_20220901.json; research/walkforward/WALK_REPORT.md
G_B,predictive_new_cp,未来新对手方水平可预测,同上（new_level 目标）,"n=18,519；holdout 09-01",R²=0.564；Spearman=0.698；Recall@K=0.597,cp_distinct_90d persistence（R²≈−2.0）,Spearman +0.036；Recall@K +0.025,同上,PASS,可复现,与 act_level 高度相关（rank ρ=0.986）；WALK 中 predictive_new U(K) 与 act 一致,H2 新边目标；次级选择器,KEEP_CORE,research/groupB_predictive/results/predictive_results_20220901.json
G_B,extended_feature_ablation,轨迹/网络/USD 特征组几乎无增量,09-01 内确定性地址 hash 切分消融（EXPLORATORY/POST-HOC）,"train 11,111 / val 3,696 / test 3,712",act_level all vs base R² +0.010；AUC +0.004,base 24 特征,增量≈0,CPU,PASS（标注 post-hoc；非冻结 OOS）,可复现,无 CI（post-hoc 单切分）,消融/上下文；不得作为有效性声明,KEEP_CONTEXT,research/groupB_predictive/results/predictive_extended09_ablation.json
G_C,structural_importance,H_C：结构重要节点（as-of）描述性预测未来网络行为,"matched-matched as-of 时序子图（7,929 节点/13,281 边/105,592 权重）上 27 个结构/时间/社区特征 + 复合百分位","cutoff 09-01；支持集 n=7,929",structure_pct vs fwd30_evt ρ=0.435；top-100 均值 fwd30_evt=349.3；K=10=1592.9,volume_pct ρ=0.750；K=100 volume 429.7 > structure 349.3,volume 始终 > structure（结构非主导）,BQ ≈0.16 GiB；CPU ~8min（含全量 betweenness）,PASS（as-of；静态全窗口先验隔离为 leaky baseline）,可复现（SQL+脚本+evidence_summary）,描述性；无 CI；单 cutoff,结构侧次级选择器/基线；H2 动态 vs 静态结构,KEEP_ABLATION,research/groupC_temporal_graph/README.md; results/evidence_summary.json
G_C,static_vs_asof,全窗口静态先验不可替代 as-of 结构,静态 vs as-of 秩相关与 top-K 重叠,"n=7,929",top-100 overlap：wdeg 6.4%、pagerank 8.7%；ρ 0.13–0.38,静态（leaky）,as-of 显著不同,—,PASS（明确标记 leaky prior）,可复现,描述性,方法学/防泄漏叙事,KEEP_CONTEXT,research/groupC_temporal_graph/results/evidence_summary.json
G_C,structure_vs_influence_orthogonality,结构重要性 ≠ 预测影响力,结构复合 vs P2 trigger 影响 proxy 相关,"P2 n=1,113（snapshot 08-01）",ρ(struct vs P2)=−0.036；ρ(evt_cnt vs P2)=−0.074,正交,近零相关,—,PASS,可复现,描述性,概念边界（勿混为因果/影响）,KEEP_CONTEXT,research/groupC_temporal_graph/results/evidence_summary.json
G_D,wallet_masking_ig,钱包历史信息显著降低自身未来不确定性,5 折 StratifiedKFold + 中位数掩蔽 ΔNLL（HistGBM/Logistic）,"子集 n=2,999（09-01 分层抽样 seed=20220901）",y_cp_ge10：AUC=0.928；NLL_full 0.337 vs mask_all 0.742（ΔNLL=0.406）,掩蔽基线（AUC≈0.50）,ΔNLL=+0.406；ΔAUC=0.429,BQ ≈30MB（仅对照表）；CPU,PASS（单快照内 wallet-CV 不跨窗口；static prior 仅对照）,可复现（脚本+parquet）,5 折 CV；无跨 cutoff CI；非 walk-forward OOS（已标注）,H1/H3 信息侧辅助信号；IG 定义基础,KEEP_CONTEXT,research/groupD_infogain/README.md; results/SUMMARY.json
G_D,ig_topK_masking,IG 排序信息密度高于 volume 排序,top-K 掩蔽 ΔNLL 对比（IG vs volume）,"n=2,999；K=50/100/250/500",K=100：top100_ig ΔNLL=1.79 vs vol_top100 0.99（≈1.8×）,volume top-K,≈1.8×（描述性）,CPU,PASS,可复现,描述性；topK 子集小,信息密度叙事（非选择器优越性）,KEEP_CONTEXT,research/groupD_infogain/results/SUMMARY.json
G_D,residual_analysis,低量高影响/高量低影响两类存在,IG 对 log1p(volume) OLS 残差（ig_resid_logvol，R²=0.025）,"n=2,999",low_vol_high_ig n=15：mean IG +1.61 / mean volume $2；high_vol_low_ig n=87,—,两类均存在,CPU,PASS,可复现,小 n；无 CI,§9 volume-adjusted influence 基础；需 walk-forward 复核,REPRODUCE,research/groupD_infogain/results/SUMMARY.json (residual/ranking)
G_E,qwen_representation_pilot,Qwen 语义表示与数值互补,"Qwen3.5-4B 摘要（t=0,700 cap）+ Qwen3-Embedding-0.6B PCA-64 → OOF Ridge",n=200（09-01，分层，seed=2022）,R_qwen OOF R² 0.23–0.34 vs 数值 0.59–0.64；拼接未超越纯数值；冗余度 mean R²=−0.18,纯数值表示,互补性未证实（负结果）,"200 chat calls（174,399 prompt + 38,840 completion tokens）+ 13 embed calls；CPU 验证",PASS（泄漏扫描 200/200；样本选择不用 fwd 标签）,可复现（缓存 jsonl/npy）,n=200 小样本；无 CI,表示层描述性试点；非选择器；大样本互补性=开放项,KEEP_CONTEXT,research/groupE_qwen/README.md; results/evaluation_20220901.json; results/call_stats_20220901.json
G_F,benchmark_registry,外部基准/SOTA 通道识别,实证 registry：TGB tgbl-coin-v2 / EX-Graph LP / LiveGraphLab / 账户标签等（[已实测]/[已读源码]/[仅凭论文] 分级）,n/a（外部追踪）,TGB tgbl-coin-v2 活榜 TPNet MRR 0.832±0.001（2026-09-11 代理实测引用）；EX-Graph LP leaderboard 404,—,—,网络抓取（代理）；无 BQ,n/a（外部追踪）,"引用 vs 实测已分级标注；27,613 钱包无法干净映射进 EX-Graph LP 图",n/a,外部验证通道规划（TGB=唯一活榜单通道）,KEEP_CONTEXT,research/groupF_benchmark/benchmark_registry.md; exgraph_benchmark_note.md; account_classification_track.md
CHIEF,method_comparison_consensus,跨方法共识与主/次/辅助方法推荐,5 类定义横向对比 + consensus 分析（rank_correlation/pairwise_jaccard/future_utility/consensus_frequency）,cutoff 09-01,"B_act vs A_vol ρ=0.930（n=18,519）；B_act vs C_struct ρ=0.536；D 唯一性 top-100 0.94；B∩C∩A K=100 n=28（随机期望 0.016）",—,—,CPU；零新 BQ,PASS,可复现（run_consensus.py）,描述性,方法推荐：B 主 / C 次 / D 辅助；基线层级强制,KEEP_CONTEXT,research/chief_merge/COMPARISON.md; method_recommendation.md; consensus_analysis/results/consensus_summary.json
SELECT,budgeted_selection_framework,预算化钱包选择（P4 新任务）可冻结评估,25 选择器 × K∈{10..1000}；U(K)/U(K)/K/Recall@K + 支持集纪律 + LEAKY 基线单独报告,"cutoff 09-01 冻结；full n=18,519；支持集 usd 16,910 / structural 7,929 / ig 2,999","predictive_act K=10 U/K(fwd30_new_cp)=457（≈随机 7.2 的 64×）；K=100 =160–169；B_act K=10 U/K(fwd30_evt)=2,072.3",random（期望 7.2）；volume/degree/betweenness/eth_flow 同量级,predictive 领先但非碾压（不能称碾压基线）,CPU 42s；零 BQ（复用冻结产物）,PASS（分数 as-of；标签仅评估；K 不在 holdout 调参）,可复现（manifest + run_eval.py + budget_frontier.csv）,单点 09-01 + 08-01 描述性对照；无 CI（CI 由 WALK 提供）,新任务 P4；选择层效用 ≠ 端任务优越性；Phase-II H4 框架,KEEP_CORE,research/selection_eval/README.md; results/selection_results_20220901.json; results/robustness_0801.json
SELECT,ig_active_semantics,y_active30 遮蔽 IG 的负例语义需文档化,未取绝对值的遮蔽 IG 作为活跃选择器,"n=2,999",top-10 未来效用 0（选出最确信不活跃钱包）,—,语义非 bug,CPU,PASS,可复现,描述性,不可作活跃度选择器；需在 Phase-II 文档化,KEEP_CONTEXT,research/selection_eval/README.md; research/groupD_infogain/results/SUMMARY.json
BENCH,exgraph_lp_heuristics,EX-Graph LP 官方协议可跑启发式基线,官方 split pkl + 启发式（CN/AA/RA/Jaccard/PA，官方图−val/test 正边拓扑）,"官方 70/10/20（train 842,821 / val 111,582 / test 201,780）",test AUC 0.634–0.775（PA 最高 0.7754）；有向 CN 0.5801,论文自报 APPNP with-X AUC 0.89±0.02（引用，非实测）,低于论文 GNN（未跑）,本地 pkl 37.3GB；CPU；无新依赖,PASS（官方图已删 val/test 正边；负边与图几乎不重叠）,可复现（脚本 + exgraph_lp_edges.npz + results json）,无 CI（单次）,"图级外部验证；27,613 无法干净映射 → 不作钱包级声明",KEEP_CONTEXT,research/benchmark_eval/BENCH_REPORT.md §1; exgraph_lp_heuristics_results.json
BENCH,tgb_baselines,TGB tgbl-coin-v2 标准协议基线,EdgeBank（unlimited/fixed_time_window）+ torch-only 7 特征 MLP（leak-free streaming）,"官方 train/val/test（22.8M 边；638,486 节点）",EdgeBank test MRR 0.3590 / 0.5796；MLP test 0.7841,活榜 Heuristic 0.774（引用）,MLP > Heuristic/DyGFormer 0.752，< TPNet 0.832,下载 1.28GB（一次）；GPU6 ~18min,PASS（streaming，严格 < t 特征）,可复现（权重/scaler 已存）,无 CI（单 seed）,外部基准钩子（本地协议口径）,KEEP_CONTEXT,research/benchmark_eval/BENCH_REPORT.md §2; tgb_edgebank_*_results.json; tgb_mlp_test_results.json
COMM,dynamic_communities,动态社区形式化与归属变化分解,per-cutoff as-of 图 + greedy_modularity + Hungarian 匹配（Jaccard≥0.05）,"cutoff 06/07/08/09（节点 11,370→7,929）",归属切换率 35.7%→40.0%→46.5%；ARI 0.525→0.431；09-01 与 Group C 图完全一致,Group C 粗略 switch 58.0%/56.3%,正式口径更稳（mapped-only 0.30–0.40/月）,BQ ≈0.41 GiB；CPU；无 LLM,PASS,可复现（manifest + SQL）,描述性；无 CI,H3 社区扰动/regime 变化特征基础,KEEP_CONTEXT,research/community_temporal/COMMUNITIES.md; TEMPORAL_STATE.md; temporal_state_manifest.json
FINAL,final_ranking_handoff,最终重要钱包排名 + Phase-II 交接,B_act 主 / C_struct 次 / A_vol+random 基线 / 共识 B∩C∩A,cutoff 09-01 冻结（单次评估）,"B_act K=10 U/K=2,072.3；K=100=458.4；Recall@K(new_cp) K=1000=0.094",A_vol / random,方向一致,CPU；零 BQ,PASS（只评估一次；K 不调参）,可复现（build_final.py + final_ranking/topk）,单点；无 CI,Phase-II 起点清单 + 交接契约,KEEP_CORE,research/final_handoff/PHASE1_SUMMARY.md; PHASE2_HANDOFF.md; final_evaluation_20220901.json
