snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-07-01,0x8820e3d0f8bf71fa7e733a901140537d30c3ab8f,210,new,new_popular,low,53.464,52,1,5.5,0.18181818181818182,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9981,358,10339,3236,12.914,glm-5.3
2022-07-01,0x425a2ca37c24b96a3935e78f54c31d8aac78208f,82,new,new_tail,low,91.28,52,1,9.0,0.1111111111111111,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9966,397,10363,3226,65.38,glm-5.3
2022-07-01,0x83075816f7d12ef2e06906eadbfd417618c9bf5f,745,new,new_tail,high,1187.944,42,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8246,407,8653,2653,19.513,glm-5.3
2022-07-01,0xfad3c6c6a249fcf334669551052b01bb5c348c2a,502,new,new_popular,high,238.072,52,1,7.0,0.14285714285714285,3.0,3.0,3.0,0.3333333333333333,1,reinforce,False,3.0,0.3333333333333333,1,4,9984,395,10379,3227,11.486,glm-5.3
2022-07-01,0x70813e041caba3d6245fa5bc63d7f075b72a76fe,755,new,new_tail,high,1187.944,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9962,442,10404,3230,48.165,glm-5.3
2022-07-01,0x9ede824dac8709738d5c9d7786b1dd6adc3c7849,741,new,new_popular,high,238.072,52,1,23.0,0.043478260869565216,,1.0,1.0,1.0,0,,,1.0,1.0,1,3,6356,232,6588,3219,196.431,glm-5.3
2022-07-01,0x30965b30bbbd150d634ca46d5c9b38b2fb9c2f53,1111,new,new_tail,high,1187.944,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9983,324,10307,3226,69.768,glm-5.3
2022-07-01,0x1ad60130a2528c6f73a8c6e50758532949627dfd,7160,new,new_popular,high,238.072,52,1,1.0,1.0,2.0,2.0,2.0,0.5,1,weaken,False,2.0,0.5,1,4,9955,444,10399,3259,24.154,glm-5.3
2022-07-01,0xb6b31f5af88e846999ab683dfe084524a708c4dd,204,new,new_tail,high,1187.944,46,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8925,403,9328,2881,12.678,glm-5.3
2022-07-01,0x5bc993d0e86bd00e91fbfe17813b5e896400561b,232,new,new_popular,high,238.072,52,1,19.0,0.05263157894736842,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9966,385,10351,3224,223.051,glm-5.3
2022-07-01,0x5b1eafe0385f97b390c6d6f68b4bfda972576561,47,new,new_tail,low,91.28,52,1,2.5,0.4,6.0,6.0,6.0,0.16666666666666666,1,reinforce,False,6.0,0.16666666666666666,1,4,9969,397,10366,3245,52.19,glm-5.3
2022-07-01,0x8820e3d0f8bf71fa7e733a901140537d30c3ab8f,440,new,new_tail,low,91.28,52,1,8.0,0.125,,,,,0,,,7.0,0.14285714285714285,1,3,3146,79,3225,3225,252.2,glm-5.3
2022-07-01,0xfc4fa0ac4abe83f205554e9bac4c2595efbb890e,44,new,new_popular,low,53.464,42,1,15.0,0.06666666666666667,,4.0,4.0,0.25,0,,,4.0,0.25,1,3,5199,196,5395,2663,134.397,glm-5.3
2022-07-01,0x66a0b20a6811ded8058069edf877a8b664f171ef,121,new,new_popular,low,53.464,51,1,28.5,0.03508771929824561,6.0,6.0,6.0,0.16666666666666666,1,reinforce,False,6.0,0.16666666666666666,1,4,9801,426,10227,3187,13.864,glm-5.3
2022-07-01,0x994b68e4a85526b56fc993241f3c73a24a61d21f,69,new,new_tail,low,91.28,52,1,8.0,0.125,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9963,387,10350,3236,36.693,glm-5.3
2022-07-01,0xeda042d2df67516fc3f5985f5b095826a3f647ca,239,new,new_popular,high,238.072,49,1,20.0,0.05,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9447,382,9829,3057,139.828,glm-5.3
2022-07-01,0xa81b875826d7c232b3f675a0ec38e619b0af5538,101,new,new_popular,low,53.464,52,1,11.0,0.09090909090909091,4.0,4.0,4.0,0.25,1,reinforce,False,4.0,0.25,1,4,9963,390,10353,3230,83.52,glm-5.3
2022-07-01,0x994b68e4a85526b56fc993241f3c73a24a61d21f,67,new,new_popular,low,53.464,51,1,30.0,0.03333333333333333,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9801,426,10227,3171,37.092,glm-5.3
2022-07-01,0x34b6456a4f8097807d2b38144537ca0a34a700b2,328,new,new_tail,low,91.28,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9975,450,10425,3240,19.455,glm-5.3
2022-07-01,0xe5d8e94c32c256d127ec75a862bfc4340b7e3589,237,new,new_popular,low,53.464,52,1,7.5,0.13333333333333333,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9969,356,10325,3227,12.855,glm-5.3
2022-07-01,0xb7fb77eacc74471ec9adf603ccf73de5c1e2c9a9,151,new,new_popular,high,238.072,52,1,45.5,0.02197802197802198,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9960,477,10437,3240,12.89,glm-5.3
2022-07-01,0xfc3141f87275dfc7c6b9335fdd4676a6531213da,754,new,new_tail,high,1187.944,52,1,7.5,0.13333333333333333,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9962,378,10340,3241,12.44,glm-5.3
2022-07-01,0x4ede5ce37ce0f792927bcb93863cc2effc39fff5,105,new,new_tail,low,91.28,45,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8751,362,9113,2806,12.082,glm-5.3
2022-07-01,0x0c4d9c68c27eb30591f0c0fe8234a1c395c1e292,206,new,new_tail,low,91.28,52,1,4.5,0.2222222222222222,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9969,489,10458,3243,109.587,glm-5.3
2022-07-01,0x56e106c1aa3ba30888a6c6a577ac895bb01111ac,4369,new,new_tail,high,1187.944,52,1,7.0,0.14285714285714285,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9965,439,10404,3234,23.657,glm-5.3
2022-07-01,0x177adf0f661ce080da1fa3f491f18e768182c2bf,361,new,new_tail,high,1187.944,52,1,4.5,0.2222222222222222,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9975,417,10392,3233,11.443,glm-5.3
2022-07-01,0x363f725beb64d679f04213774f27cae4689b292c,104,new,new_tail,low,91.28,51,1,12.0,0.08333333333333333,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9807,570,10377,3165,49.98,glm-5.3
2022-07-01,0x84c55a056efa8334c4704e1c6e698243e57d9841,633,new,new_popular,high,238.072,52,1,33.0,0.030303030303030304,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9972,383,10355,3231,32.822,glm-5.3
2022-07-01,0x399e0ae23663f27181ebb4e66ec504b3aab25541,961,new,new_popular,high,238.072,52,1,5.0,0.2,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9950,407,10357,3221,45.193,glm-5.3
2022-07-01,0x42d3b1e30f39191f6da2701e31cfc82574ea14d5,512,new,new_popular,high,238.072,52,1,13.5,0.07407407407407407,4.0,4.0,4.0,0.25,1,reinforce,False,4.0,0.25,1,4,9977,368,10345,3219,14.102,glm-5.3
2022-07-01,0x6866b9b6ee721f37b161501c56f457de38796d0c,922,new,new_popular,high,238.072,52,1,1.0,1.0,7.0,7.0,7.0,0.14285714285714285,1,reinforce,False,7.0,0.14285714285714285,1,4,9969,470,10439,3238,13.394,glm-5.3
