snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-08-01,0x24b0100d04145daa7857378805e419ca39b3964c,48,new,new_popular,low,50.336,52,1,1.0,1.0,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9981,393,10374,3234,16.908,glm-5.3
2022-08-01,0xca5f3fc080c377a1a833e700607aba83910d425e,149,new,new_popular,low,50.336,42,1,1.0,1.0,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,8235,374,8609,2641,15.934,glm-5.3
2022-08-01,0xfe588c79166bf423ddce78d7f266d5651c8405dc,96,new,new_tail,low,85.344,42,1,6.5,0.15384615384615385,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8235,422,8657,2646,13.873,glm-5.3
2022-08-01,0xca5f3fc080c377a1a833e700607aba83910d425e,134,new,new_popular,low,50.336,42,1,29.0,0.034482758620689655,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,8229,444,8673,2648,14.083,glm-5.3
2022-08-01,0x2d5bcc7ef46059297593e3bc83c7623afd9f7e7f,68,new,new_popular,low,50.336,50,1,1.0,1.0,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9621,442,10063,3112,13.398,glm-5.3
2022-08-01,0x064ebe90b4d32e8b18b684f60cab14609d2f6e78,169,new,new_tail,low,85.344,51,1,5.5,0.18181818181818182,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9810,411,10221,3171,13.974,glm-5.3
2022-08-01,0xf969b37ad132e92c7c4b2295fedb435e29d39631,205,new,new_tail,low,85.344,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9951,388,10339,3214,13.748,glm-5.3
2022-08-01,0x91071550f052daec876a0dd22c85586ac81bbbdd,945,new,new_tail,high,1043.376,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9962,394,10356,3207,15.819,glm-5.3
2022-08-01,0xdfc7192920825d2aa569a6ec65b58fc159c98c6b,530,new,new_tail,low,85.344,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9975,427,10402,3238,13.384,glm-5.3
2022-08-01,0xa7cf9e40d95c5eb861460cd15a97bd552b481793,1118,new,new_popular,high,194.544,52,1,43.5,0.022988505747126436,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9965,385,10350,3222,15.767,glm-5.3
2022-08-01,0x722b6b32e54eb32108d838eb77d45322e3bd762e,1040,new,new_tail,high,1043.376,52,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9968,407,10375,3237,16.782,glm-5.3
2022-08-01,0x1e31b88317294210b7cfa455acf0fc6514bf099c,1291,new,new_popular,high,194.544,52,1,1.0,1.0,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9971,373,10344,3223,12.924,glm-5.3
2022-08-01,0xb49d316d771b9dafb432bd854cc6869c565f6eb3,1275,new,new_tail,high,1043.376,52,1,2.5,0.4,5.0,5.0,5.0,0.2,1,same,False,5.0,0.2,1,4,9959,383,10342,3221,12.834,glm-5.3
2022-08-01,0x6ffcad0e1ba3a8be68f0b8449ca1430173a3c451,1017,new,new_popular,high,194.544,52,1,16.0,0.0625,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9974,409,10383,3229,13.457,glm-5.3
2022-08-01,0x4bd3d08bae19c45b3bce064bfec0d5865baf458a,285,new,new_popular,high,194.544,52,1,4.0,0.25,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9948,420,10368,3216,13.105,glm-5.3
