paper_id,title,year_or_date,bucket,input_unit,address_level,persistent_state,llm_inference,competing_hypotheses,evidence_provenance,intervention_or_counterfactual,future_verification,relational_expectation,code_availability,data_availability,overlap_level,source_identifier,notes
KYI,Know Your Intent: An Autonomous Multi-Perspective LLM Agent Framework for DeFi User Transaction Intent Mining,2025-11-19,blockchain transaction intent,DeFi transaction plus multimodal on/off-chain context,partial transaction/user context,no longitudinal address state,yes,partial multi-perspective analysis,partial Cognitive Evaluator/verifiability,no,no,no,not verified,not verified,direct adjacent,arXiv:2511.15456,Directly removes LLM plus on-chain intent mining as a novelty claim; current audit did not verify a public author code/data release.
Intent2Tx,Intent2Tx: Benchmarking LLMs for Translating Natural Language Intents into Ethereum Transactions,2026-04-30,blockchain transaction intent,natural-language intent to Ethereum transaction plans,no,no,yes,no,execution-aware validation but not evidence provenance,no,execution success not future behavior,no,yes,yes,adjacent,arXiv:2604.27763; HF Intent2Tx,Reverse direction from our task; useful evidence that intent-centric Ethereum benchmarking is active and reproducible.
CryptoTrade,CryptoTrade: A Reflective LLM-based Agent to Guide Zero-shot Cryptocurrency Trading,2024,LLM financial agent,on-chain statistics plus prices/news and market context,no external address state,agent memory/reflection only,yes,partial role/reflection alternatives,no,no,trading-return/backtest evaluation,no,yes,partial,adjacent,EMNLP 2024; arXiv:2407.09546; GitHub Xtra-Computing/CryptoTrade,Agent makes market trading decisions; not an externally observed address-level state hypothesis.
FinMem,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2023,LLM financial agent,financial market observations and agent memory,no external address state,yes internal agent memory but not wallet state,yes,no,no,no,trading performance evaluation,no,yes,not verified,adjacent,arXiv:2311.13743; GitHub xt2201/finmem,"Memory is persistent inside the agent, not an inferred state of an external actor."
TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,2024,LLM financial agent,market/news/technical/fundamental data,no,no,yes,partial specialized roles/debate,partial role reports,no,backtest/trading outcomes,no,yes,not verified,adjacent,arXiv:2412.20138; GitHub TauricResearch/TradingAgents,Role-based market decision workflow rather than address-level behavioral inference.
ETHProfile,Blockchain is Watching You: Profiling and Deanonymizing Ethereum Users,2020/2021,address behavior profiling,Ethereum address activity/graph/time/fee quasi-identifiers,yes,no,no,no,no,no,no,no,not verified,not verified,adjacent,arXiv:2005.14051; IEEE DAPPS 2021,"Address profiling and deanonymization, not latent decision-state inference or future verification."
Ethident,Behavior-aware Account De-anonymization on Ethereum Interaction Graph,2022,address behavior profiling,Ethereum account interaction graph,yes,no,no,no,no,no,no,no,not verified,not verified,adjacent,arXiv:2203.09360,"Behavior representation for identity/risk classification, not open hypothesis generation."
EgoTemporal,Temporal Analysis of Transaction Ego Networks with Different Labels on Ethereum,2022,address behavior profiling,temporal Ethereum account ego networks,yes,no,no,no,no,no,no,no,not verified,not verified,adjacent,arXiv:2204.13253,Temporal account-pattern analysis is close at the input level but not at state/hypothesis/evaluation levels.
RoleInference,Transaction Profiling and Address Role Inference in Tokenized U.S. Treasuries,2025-07-20,address role inference,decoded contract calls and graph/liquidity features,yes,no,no,no,no,no,downstream classification not future state verification,no,not verified,not verified,adjacent,arXiv:2507.14808,Role and function inference is not a persistent predictive hypothesis about future address behavior.
AttNLI,Inferring Latent Intentions: Attributional Natural Language Inference in LLM Agents,2026-01-13,LLM latent intention inference,actions and observations in Undercover-V textual game,no,latent intention for an acting agent,yes,yes abductive alternatives plus deductive verification,partial logical verification,no,game outcome rather than future behavior,no,not verified,not verified,methodological adjacent,arXiv:2601.08742,Closest general LLM intention-inference method but not blockchain or longitudinal address forecasting.
HypER,HypER: Literature-grounded Hypothesis Generation and Distillation with Provenance,2025,provenance-grounded hypothesis generation,literature abstracts and reasoning chains,no,structured scientific hypotheses,yes,partial valid/invalid reasoning chains,yes evidence-grounded provenance,no,expert feasibility/impact judgments not future behavioral validation,no,yes,yes,methodological adjacent,EMNLP 2025; arXiv:2506.12937; GitHub rosnikv/HypER,Closest provenance/hypothesis-generation neighbor; domain and verification target differ.
CHG,Counter-Hypothesis Generation: Towards Evaluating How LLMs Reason about Alternatives,2026,competing hypothesis generation,modified textual context and commonsense scenarios,no,alternative hypotheses,yes,yes explicit counter-hypotheses,partial human-annotated alternatives,no,not future behavior,no,not verified,partial human-annotated test set,methodological adjacent,LREC 2026; ACL Anthology 2026.lrec-1.424,Supports the open hypothesis plus alternative explanation design.
AMLTriage,Explainable AML Triage with LLMs: Evidence Retrieval and Counterfactual Checks,2026-03-22,evidence and intervention,AML alerts customer context triggers and transaction subgraphs,no persistent address state,alert rationale rather than latent state,yes,partial supporting/contradicting/missing evidence,yes counterfactual checks,no,triage outcome on synthetic AML benchmarks,no,not verified,partial public synthetic benchmarks claimed,direct methodological adjacent,arXiv:2604.19755,Closest to provenance plus counterfactual faithfulness; lacks persistent address-level state and held-out future blockchain behavior.
MindMarket,In the Mind of the Market: Theory of Mind Biases Value Computation during Financial Bubbles,2013,financial theory of mind,experimental market behavior,no,participant-level mentalizing motivation,no,not an LLM hypothesis system,no,experimental market outcomes not address forecasts,conceptual relational expectations,no,not verified,not verified,theoretical adjacent,Neuron 79:1222-1231; DOI:10.1016/j.neuron.2013.07.003,Provides behavioral motivation but not a computational wallet benchmark.
ReadingMarket,Reading the Market? Expectation Coordination and Theory of Mind,2024,financial theory of mind,learning-to-forecast market experiments,no,participant ToM capability rather than inferred address state,no,no,no,no,experimental market outcomes,conceptual relational expectations,not verified,not verified,theoretical adjacent,JEBO 219:510-527; DOI:10.1016/j.jebo.2024.01.018,Useful caution: ToM motivation does not guarantee improved market coordination.
